,true_log,pred_log,true_orig,pred_orig,Latitude,Longitude,abs_error_log,rmse_error_log,abs_error_orig,rmse_error_orig
220,11.002116507732017,-0.5386473,60000.000000000015,-0.41646293,38.1882,-77.6525,11.540763801776512,133.18922912839506,60000.41646292807,3600049975.72481
221,16.52356082573315,-0.5145902,15000000.00000001,-0.4022545,37.1915,-77.2389,17.038151029495204,290.2985905038885,15000000.402254501,225000012067635.2
222,20.356540558597178,0.17758603,692999999.9999995,0.19433081,36.885549999999995,-76.31825,20.178954524656863,407.1902057081697,692999999.8056687,4.8024899973065683e+17
223,17.129696599000436,-0.89549583,27500000.000000015,-0.59159493,37.1915,-77.2389,18.025192430966836,324.9075621733841,27500000.59159495,756250032537722.6
224,19.413932520666354,-0.31677186,270000000.0000003,-0.27150306,36.885549999999995,-76.31825,19.730704385557406,389.30069555025426,270000000.2715033,7.290000014661179e+16
225,17.840862266556567,-0.022737443,56000000.00000003,-0.022480896,36.79305,-76.5583,17.86359971000368,319.1081945992436,56000000.02248093,3136000002517864.0
226,20.020068322553165,0.98963535,494999999.9999992,1.6902533,36.7494,-76.0571,19.030432974233157,362.15737918678064,494999998.30974597,2.450249983266485e+17
227,11.472113887062386,0.24924372,95999.99999999996,0.2830547,37.3264,-76.7745,11.222870165696458,125.95281475607963,95999.71694529052,9215945653.575901
228,11.156264806643742,-0.14114243,70000.00000000001,-0.13163438,36.4001,-75.84399999999998,11.297407234565037,127.63141022360244,70000.13163438441,4900018428.831144
229,13.112315061750808,0.93378603,495000.0000000004,1.544123,36.7494,-76.0571,12.178529027166762,148.3165692655434,494998.45587694686,245023471320.5617
230,11.561725152903833,0.11772323,104999.99999999997,0.124932714,36.40065,-75.939,11.444001926356592,130.96518009045337,104999.87506728616,11024973764.145702
231,10.596659732783579,-0.48334432,40000.0,-0.38328257,37.7659,-75.6472,11.080004049266122,122.76648973175367,40000.38328257203,1600030662.752668
232,9.61587214452889,-0.553031,14999.99999999999,-0.42479628,37.3566,-75.8995,10.168903171845937,103.40659171837835,15000.424796283236,225012744.06894895
233,12.013706813470414,0.15008917,165000.00000000015,0.16193785,37.0534,-76.3673,11.863617638961365,140.74542348347524,164999.8380621524,27224946560.53652
234,14.24729362374025,0.25331497,1539999.9999999988,0.28828898,36.885549999999995,-76.31825,13.993978651816422,195.83143850749374,1539999.711711018,2371599112070.019
235,13.304686600863562,-0.2051754,600000.0000000003,-0.18549556,36.885549999999995,-76.31825,13.509862000643835,182.51637127644025,600000.1854955558,360000222594.7013
236,13.805461232211272,1.1906233,989999.9999999992,2.2891307,36.7494,-76.0571,12.614837948825041,159.13413647511638,989997.7108693115,980095467526.4768
